ID	s	d	ts	te	LLC	ELC
----------------------------------------------------
22	5	6	0	0	1	0.45
9	3	7	0	0	1	0.43
33	7	8	0	0	1	0.45
10	3	8	0	0	1	0.45
38	8	9	0	0	1	0.45
34	7	9	0	0	1	0.43
11	3	9	0	0	1	0.43
7	1	32	0	0	1	0.45
150	32	1	0	1	1	0.45
40	9	3	0	1	1	0.43
36	8	3	0	1	1	0.45
32	7	3	0	1	1	0.43
27	6	5	0	1	1	0.45
210	5	6	1	1	1	0.45
197	3	7	1	1	1	0.43
41	9	7	0	1	1	0.43
37	8	7	0	1	1	0.45
221	7	8	1	1	1	0.45
198	3	8	1	1	1	0.45
42	9	8	0	1	1	0.45
226	8	9	1	1	1	0.45
222	7	9	1	1	1	0.43
199	3	9	1	1	1	0.43
195	1	32	1	1	1	0.45
338	32	1	1	2	1	0.45
228	9	3	1	2	1	0.43
224	8	3	1	2	1	0.45
220	7	3	1	2	1	0.43
215	6	5	1	2	1	0.45
398	5	6	2	2	1	0.45
385	3	7	2	2	1	0.43
229	9	7	1	2	1	0.43
225	8	7	1	2	1	0.45
409	7	8	2	2	1	0.45
386	3	8	2	2	1	0.45
230	9	8	1	2	1	0.45
414	8	9	2	2	1	0.45
410	7	9	2	2	1	0.43
387	3	9	2	2	1	0.43
383	1	32	2	2	1	0.45
526	32	1	2	3	1	0.45
416	9	3	2	3	1	0.43
412	8	3	2	3	1	0.45
408	7	3	2	3	1	0.43
403	6	5	2	3	1	0.45
586	5	6	3	3	1	0.45
573	3	7	3	3	1	0.43
417	9	7	2	3	1	0.43
413	8	7	2	3	1	0.45
597	7	8	3	3	1	0.45
574	3	8	3	3	1	0.45
418	9	8	2	3	1	0.45
602	8	9	3	3	1	0.45
598	7	9	3	3	1	0.43
575	3	9	3	3	1	0.43
571	1	32	3	3	1	0.45
714	32	1	3	4	1	0.45
604	9	3	3	4	1	0.43
600	8	3	3	4	1	0.45
596	7	3	3	4	1	0.43
591	6	5	3	4	1	0.45
774	5	6	4	4	1	0.45
761	3	7	4	4	1	0.43
605	9	7	3	4	1	0.43
601	8	7	3	4	1	0.45
785	7	8	4	4	1	0.45
762	3	8	4	4	1	0.45
606	9	8	3	4	1	0.45
790	8	9	4	4	1	0.45
786	7	9	4	4	1	0.43
763	3	9	4	4	1	0.43
14	4	11	0	4	5	0.43
202	4	11	1	4	5	0.43
390	4	11	2	4	5	0.43
578	4	11	3	4	5	0.43
766	4	11	4	4	5	0.43
1	1	11	0	4	5	0.43
189	1	11	1	4	5	0.43
377	1	11	2	4	5	0.43
