ID	s	d	ts	te	LLC	ELC
----------------------------------------------------
9	5	6	0	0	1	0.42
0	3	7	0	0	1	0.33
12	7	8	0	0	1	0.42
1	3	8	0	0	1	0.42
16	8	9	0	0	1	0.42
13	7	9	0	0	1	0.42
2	3	9	0	0	1	0.42
17	9	3	0	1	1	0.42
14	8	3	0	1	1	0.42
11	7	3	0	1	1	0.33
10	6	5	0	1	1	0.42
104	5	6	1	1	1	0.42
95	3	7	1	1	1	0.33
18	9	7	0	1	1	0.42
15	8	7	0	1	1	0.42
107	7	8	1	1	1	0.42
96	3	8	1	1	1	0.42
19	9	8	0	1	1	0.42
111	8	9	1	1	1	0.42
108	7	9	1	1	1	0.42
97	3	9	1	1	1	0.42
112	9	3	1	2	1	0.42
109	8	3	1	2	1	0.42
106	7	3	1	2	1	0.33
105	6	5	1	2	1	0.42
199	5	6	2	2	1	0.42
190	3	7	2	2	1	0.33
113	9	7	1	2	1	0.42
110	8	7	1	2	1	0.42
202	7	8	2	2	1	0.42
191	3	8	2	2	1	0.42
114	9	8	1	2	1	0.42
206	8	9	2	2	1	0.42
203	7	9	2	2	1	0.42
192	3	9	2	2	1	0.42
207	9	3	2	3	1	0.42
204	8	3	2	3	1	0.42
201	7	3	2	3	1	0.33
200	6	5	2	3	1	0.42
294	5	6	3	3	1	0.42
285	3	7	3	3	1	0.33
208	9	7	2	3	1	0.42
205	8	7	2	3	1	0.42
297	7	8	3	3	1	0.42
286	3	8	3	3	1	0.42
209	9	8	2	3	1	0.42
301	8	9	3	3	1	0.42
298	7	9	3	3	1	0.42
287	3	9	3	3	1	0.42
302	9	3	3	4	1	0.42
299	8	3	3	4	1	0.42
296	7	3	3	4	1	0.33
295	6	5	3	4	1	0.42
382	5	6	4	4	1	0.42
373	3	7	4	4	1	0.33
303	9	7	3	4	1	0.42
300	8	7	3	4	1	0.42
385	7	8	4	4	1	0.42
374	3	8	4	4	1	0.42
304	9	8	3	4	1	0.42
389	8	9	4	4	1	0.42
386	7	9	4	4	1	0.42
375	3	9	4	4	1	0.42
390	9	3	4	5	1	0.42
387	8	3	4	5	1	0.42
384	7	3	4	5	1	0.33
383	6	5	4	5	1	0.42
460	5	6	5	5	1	0.42
451	3	7	5	5	1	0.33
391	9	7	4	5	1	0.42
388	8	7	4	5	1	0.42
463	7	8	5	5	1	0.42
452	3	8	5	5	1	0.42
392	9	8	4	5	1	0.42
467	8	9	5	5	1	0.42
464	7	9	5	5	1	0.42
453	3	9	5	5	1	0.42
4	4	17	0	5	6	0.45
99	4	17	1	5	6	0.45
194	4	17	2	5	6	0.45
289	4	17	3	5	6	0.45
377	4	17	4	5	6	0.45
455	4	17	5	5	6	0.45
68	30	38	0	5	6	0.42
163	30	38	1	5	6	0.42
258	30	38	2	5	6	0.42
346	30	38	3	5	6	0.42
434	30	38	4	5	6	0.42
512	30	38	5	5	6	0.42
468	9	3	5	6	1	0.42
465	8	3	5	6	1	0.42
462	7	3	5	6	1	0.33
30	17	4	0	6	6	0.45
125	17	4	1	6	6	0.45
