ID	s	d	ts	te	LLC	ELC
----------------------------------------------------
35	5	6	0	0	1	0.2
16	3	7	0	0	1	0.25
38	7	8	0	0	1	0.2
17	3	8	0	0	1	0.25
42	8	9	0	0	1	0.2
39	7	9	0	0	1	0.2
18	3	9	0	0	1	0.25
174	21	39	0	0	1	0.23
43	9	3	0	1	1	0.25
40	8	3	0	1	1	0.25
37	7	3	0	1	1	0.25
36	6	5	0	1	1	0.2
301	5	6	1	1	1	0.2
282	3	7	1	1	1	0.25
44	9	7	0	1	1	0.2
41	8	7	0	1	1	0.2
304	7	8	1	1	1	0.2
283	3	8	1	1	1	0.25
45	9	8	0	1	1	0.2
308	8	9	1	1	1	0.2
305	7	9	1	1	1	0.2
284	3	9	1	1	1	0.25
259	39	21	0	1	1	0.23
440	21	39	1	1	1	0.23
309	9	3	1	2	1	0.25
306	8	3	1	2	1	0.25
303	7	3	1	2	1	0.25
302	6	5	1	2	1	0.2
567	5	6	2	2	1	0.2
548	3	7	2	2	1	0.25
310	9	7	1	2	1	0.2
307	8	7	1	2	1	0.2
570	7	8	2	2	1	0.2
549	3	8	2	2	1	0.25
311	9	8	1	2	1	0.2
574	8	9	2	2	1	0.2
571	7	9	2	2	1	0.2
550	3	9	2	2	1	0.25
4	1	15	0	2	3	0.25
270	1	15	1	2	3	0.25
536	1	15	2	2	3	0.25
26	4	20	0	2	3	0.19
292	4	20	1	2	3	0.19
558	4	20	2	2	3	0.19
525	39	21	1	2	1	0.23
192	24	33	0	2	3	0.18
458	24	33	1	2	3	0.18
724	24	33	2	2	3	0.18
172	21	36	0	2	3	0.23
438	21	36	1	2	3	0.23
704	21	36	2	2	3	0.23
232	36	39	0	2	3	0.2
498	36	39	1	2	3	0.2
764	36	39	2	2	3	0.2
706	21	39	2	2	1	0.23
95	15	1	0	3	3	0.25
361	15	1	1	3	3	0.25
627	15	1	2	3	3	0.25
575	9	3	2	3	1	0.25
572	8	3	2	3	1	0.25
569	7	3	2	3	1	0.25
144	20	4	0	3	3	0.19
410	20	4	1	3	3	0.19
676	20	4	2	3	3	0.19
568	6	5	2	3	1	0.2
833	5	6	3	3	1	0.2
814	3	7	3	3	1	0.25
576	9	7	2	3	1	0.2
573	8	7	2	3	1	0.2
836	7	8	3	3	1	0.2
815	3	8	3	3	1	0.25
577	9	8	2	3	1	0.2
840	8	9	3	3	1	0.2
837	7	9	3	3	1	0.2
816	3	9	3	3	1	0.25
802	1	15	3	3	3	0.25
101	15	19	0	3	4	0.25
367	15	19	1	3	4	0.25
633	15	19	2	3	4	0.25
538	1	19	2	3	4	0.5
272	1	19	1	3	4	0.5
6	1	19	0	3	4	0.5
899	15	19	3	3	4	0.25
25	4	19	0	3	4	0.19
291	4	19	1	3	4	0.19
557	4	19	2	3	4	0.19
823	4	19	3	3	4	0.19
134	19	20	0	3	4	0.23
400	19	20	1	3	4	0.23
666	19	20	2	3	4	0.23
932	19	20	3	3	4	0.23
900	15	20	3	3	5	0.46
7	1	20	0	3	5	0.71
273	1	20	1	3	5	0.71
539	1	20	2	3	5	0.71
634	15	20	2	3	5	0.46
368	15	20	1	3	5	0.46
102	15	20	0	3	5	0.46
824	4	20	3	3	3	0.19
791	39	21	2	3	1	0.23
226	36	21	0	3	3	0.23
492	36	21	1	3	3	0.23
758	36	21	2	3	3	0.23
198	33	24	0	3	3	0.18
464	33	24	1	3	3	0.18
730	33	24	2	3	3	0.18
990	24	33	3	3	3	0.18
970	21	36	3	3	3	0.23
264	39	36	0	3	3	0.2
530	39	36	1	3	3	0.2
796	39	36	2	3	3	0.2
1030	36	39	3	3	3	0.2
972	21	39	3	3	1	0.23
893	15	1	3	4	3	0.25
841	9	3	3	4	1	0.25
838	8	3	3	4	1	0.25
835	7	3	3	4	1	0.25
942	20	4	3	4	3	0.19
128	19	4	0	4	4	0.19
394	19	4	1	4	4	0.19
660	19	4	2	4	4	0.19
926	19	4	3	4	4	0.19
894	15	4	3	4	5	0.46
0	1	4	0	4	5	0.71
266	1	4	1	4	5	0.71
532	1	4	2	4	5	0.71
628	15	4	2	4	5	0.46
362	15	4	1	4	5	0.46
96	15	4	0	4	5	0.46
834	6	5	3	4	1	0.2
1099	5	6	4	4	1	0.2
1080	3	7	4	4	1	0.25
842	9	7	3	4	1	0.2
839	8	7	3	4	1	0.2
1102	7	8	4	4	1	0.2
1081	3	8	4	4	1	0.25
843	9	8	3	4	1	0.2
1106	8	9	4	4	1	0.2
1103	7	9	4	4	1	0.2
1082	3	9	4	4	1	0.25
1068	1	15	4	4	3	0.25
132	19	15	0	4	4	0.25
398	19	15	1	4	4	0.25
664	19	15	2	4	4	0.25
930	19	15	3	4	4	0.25
1089	4	19	4	4	4	0.19
150	20	19	0	4	4	0.23
416	20	19	1	4	4	0.23
682	20	19	2	4	4	0.23
948	20	19	3	4	4	0.23
1198	19	20	4	4	4	0.23
1090	4	20	4	4	3	0.19
1057	39	21	3	4	1	0.23
1024	36	21	3	4	3	0.23
996	33	24	3	4	3	0.18
1256	24	33	4	4	3	0.18
1236	21	36	4	4	3	0.23
1062	39	36	3	4	3	0.2
1296	36	39	4	4	3	0.2
1238	21	39	4	4	1	0.23
925	19	1	3	5	5	0.5
659	19	1	2	5	5	0.5
393	19	1	1	5	5	0.5
127	19	1	0	5	5	0.5
1159	15	1	4	5	3	0.25
1107	9	3	4	5	1	0.25
1104	8	3	4	5	1	0.25
1101	7	3	4	5	1	0.25
1208	20	4	4	5	3	0.19
1192	19	4	4	5	4	0.19
1100	6	5	4	5	1	0.2
1365	5	6	5	5	1	0.2
1346	3	7	5	5	1	0.25
1108	9	7	4	5	1	0.2
1105	8	7	4	5	1	0.2
1368	7	8	5	5	1	0.2
1347	3	8	5	5	1	0.25
1109	9	8	4	5	1	0.2
1372	8	9	5	5	1	0.2
1369	7	9	5	5	1	0.2
1348	3	9	5	5	1	0.25
24	4	17	0	5	6	0.19
290	4	17	1	5	6	0.19
556	4	17	2	5	6	0.19
822	4	17	3	5	6	0.19
1088	4	17	4	5	6	0.19
1354	4	17	5	5	6	0.19
5	1	17	0	5	6	0.2
271	1	17	1	5	6	0.2
537	1	17	2	5	6	0.2
632	15	17	2	5	6	0.45
366	15	17	1	5	6	0.45
100	15	17	0	5	6	0.45
803	1	17	3	5	6	0.2
898	15	17	3	5	6	0.45
1069	1	17	4	5	6	0.2
1164	15	17	4	5	6	0.45
1335	1	17	5	5	6	0.2
117	17	19	0	5	6	0.19
383	17	19	1	5	6	0.19
649	17	19	2	5	6	0.19
915	17	19	3	5	6	0.19
1181	17	19	4	5	6	0.19
1447	17	19	5	5	6	0.19
1336	1	19	5	5	7	0.39
1165	15	19	4	5	7	0.64
1070	1	19	4	5	7	0.39
804	1	19	3	5	7	0.39
1355	4	19	5	5	4	0.19
1214	20	19	4	5	4	0.23
1464	19	20	5	5	4	0.23
118	17	20	0	5	6	0.24
384	17	20	1	5	6	0.24
650	17	20	2	5	6	0.24
916	17	20	3	5	6	0.24
1182	17	20	4	5	6	0.24
