ID	s	d	ts	te	LLC	ELC
----------------------------------------------------
72	5	6	0	0	4	4.0
37	3	7	0	0	4	4.0
117	7	8	0	0	4	4.0
38	3	8	0	0	4	4.0
15	1	21	0	0	4	4.0
408	21	34	0	0	4	4.0
25	1	34	0	0	4	4.0
693	34	39	0	0	4	4.0
412	21	39	0	0	4	4.0
29	1	39	0	0	4	4.0
752	39	1	0	1	4	4.0
667	34	1	0	1	4	4.0
385	21	1	0	1	4	4.0
119	8	3	0	1	4	4.0
116	7	3	0	1	4	4.0
2	1	4	0	1	8	8.0
95	6	5	0	1	4	4.0
120	8	7	0	1	4	4.0
766	39	21	0	1	4	4.0
681	34	21	0	1	4	4.0
776	39	34	0	1	4	4.0
69	4	39	0	1	5	4.0
847	4	39	1	1	5	4.0
753	39	4	0	2	5	4.0
1531	39	4	1	2	5	4.0
895	7	8	1	2	6	4.0
1673	7	8	2	2	4	4.0
121	8	9	0	2	6	4.0
899	8	9	1	2	6	4.0
1677	8	9	2	2	6	4.0
118	7	9	0	2	6	4.0
896	7	9	1	2	6	4.0
1674	7	9	2	2	6	4.0
1539	39	15	1	2	9	8.0
761	39	15	0	2	9	8.0
54	4	20	0	2	6	4.0
832	4	20	1	2	6	4.0
1610	4	20	2	2	6	4.0
370	20	21	0	2	6	4.0
1148	20	21	1	2	6	4.0
1926	20	21	2	2	6	4.0
55	4	21	0	2	6	4.0
833	4	21	1	2	6	4.0
1611	4	21	2	2	6	4.0
372	20	24	0	2	6	4.0
1150	20	24	1	2	6	4.0
1928	20	24	2	2	6	4.0
1546	39	24	1	2	13	12.0
57	4	24	0	2	6	4.0
835	4	24	1	2	6	4.0
1613	4	24	2	2	6	4.0
475	24	32	0	2	6	4.0
1253	24	32	1	2	6	4.0
2031	24	32	2	2	6	4.0
406	21	32	0	2	6	4.0
1184	21	32	1	2	6	4.0
1962	21	32	2	2	6	4.0
378	20	32	0	2	6	4.0
1156	20	32	1	2	6	4.0
1934	20	32	2	2	6	4.0
63	4	32	0	2	6	4.0
841	4	32	1	2	6	4.0
1619	4	32	2	2	6	4.0
476	24	33	0	2	6	4.0
1254	24	33	1	2	6	4.0
2032	24	33	2	2	6	4.0
379	20	33	0	2	6	4.0
1157	20	33	1	2	6	4.0
1935	20	33	2	2	6	4.0
64	4	33	0	2	6	4.0
842	4	33	1	2	6	4.0
1553	39	33	1	2	9	8.0
775	39	33	0	2	9	8.0
1620	4	33	2	2	6	4.0
1186	21	34	1	2	6	4.0
1964	21	34	2	2	4	4.0
380	20	34	0	2	6	4.0
1158	20	34	1	2	6	4.0
1936	20	34	2	2	6	4.0
65	4	34	0	2	6	4.0
843	4	34	1	2	6	4.0
1621	4	34	2	2	6	4.0
27	1	36	0	2	8	8.0
410	21	36	0	2	8	8.0
778	39	36	0	2	8	8.0
1556	39	36	1	2	9	8.0
1471	34	39	1	2	6	4.0
2249	34	39	2	2	4	4.0
637	32	39	0	2	6	4.0
1415	32	39	1	2	6	4.0
2193	32	39	2	2	6	4.0
1190	21	39	1	2	6	4.0
1968	21	39	2	2	4	4.0
384	20	39	0	2	6	4.0
1162	20	39	1	2	6	4.0
1940	20	39	2	2	6	4.0
1625	4	39	2	2	5	4.0
1672	7	3	2	3	10	8.0
894	7	3	1	3	10	8.0
2308	39	4	2	3	5	4.0
668	34	4	0	3	6	4.0
1446	34	4	1	3	6	4.0
2224	34	4	2	3	6	4.0
641	33	4	0	3	6	4.0
1419	33	4	1	3	6	4.0
2197	33	4	2	3	6	4.0
611	32	4	0	3	6	4.0
1389	32	4	1	3	6	4.0
2167	32	4	2	3	6	4.0
455	24	4	0	3	6	4.0
1233	24	4	1	3	6	4.0
2011	24	4	2	3	6	4.0
386	21	4	0	3	6	4.0
1164	21	4	1	3	6	4.0
1942	21	4	2	3	6	4.0
358	20	4	0	3	6	4.0
1136	20	4	1	3	6	4.0
1914	20	4	2	3	6	4.0
123	9	7	0	3	6	4.0
901	9	7	1	3	6	4.0
1679	9	7	2	3	6	4.0
898	8	7	1	3	6	4.0
1676	8	7	2	3	4	4.0
124	9	8	0	3	6	4.0
902	9	8	1	3	6	4.0
1680	9	8	2	3	6	4.0
1542	39	19	1	3	9	8.0
14	1	20	0	3	7	4.0
792	1	20	1	3	7	4.0
1570	1	20	2	3	7	4.0
2347	1	20	3	3	7	4.0
765	39	20	0	3	6	4.0
1543	39	20	1	3	6	4.0
2320	39	20	2	3	6	4.0
680	34	20	0	3	6	4.0
1458	34	20	1	3	6	4.0
2236	34	20	2	3	6	4.0
653	33	20	0	3	6	4.0
1431	33	20	1	3	6	4.0
2209	33	20	2	3	6	4.0
623	32	20	0	3	6	4.0
1401	32	20	1	3	6	4.0
