ID	s	d	ts	te	LLC	ELC
----------------------------------------------------
114	5	6	0	0	1	1.0
76	3	7	0	0	1	1.0
173	7	8	0	0	1	1.0
77	3	8	0	0	1	1.0
175	8	3	0	1	1	1.0
172	7	3	0	1	1	1.0
145	6	5	0	1	1	1.0
176	8	7	0	1	1	1.0
78	3	9	0	1	3	2.0
1153	7	8	1	2	3	1.0
2133	7	8	2	2	1	1.0
177	8	9	0	2	3	1.0
1157	8	9	1	2	3	1.0
2137	8	9	2	2	3	1.0
174	7	9	0	2	3	1.0
1154	7	9	1	2	3	1.0
2134	7	9	2	2	3	1.0
179	9	7	0	3	3	1.0
1159	9	7	1	3	3	1.0
2139	9	7	2	3	3	1.0
1156	8	7	1	3	3	1.0
2136	8	7	2	3	1	1.0
180	9	8	0	3	3	1.0
1160	9	8	1	3	3	1.0
2140	9	8	2	3	3	1.0
104	4	33	0	3	3	1.0
1084	4	33	1	3	3	1.0
2064	4	33	2	3	3	1.0
796	33	4	0	4	3	1.0
1776	33	4	1	4	3	1.0
2756	33	4	2	4	3	1.0
1094	5	6	1	4	5	1.0
2074	5	6	2	4	5	1.0
3054	5	6	3	4	5	1.0
4034	5	6	4	4	1	1.0
3113	7	8	3	4	3	1.0
4093	7	8	4	4	1	1.0
90	4	16	0	4	5	1.0
1070	4	16	1	4	5	1.0
2050	4	16	2	4	5	1.0
3030	4	16	3	4	5	1.0
4010	4	16	4	4	5	1.0
4022	4	31	4	4	6	2.0
3042	4	31	3	4	6	2.0
2062	4	31	2	4	6	2.0
1082	4	31	1	4	6	2.0
102	4	31	0	4	6	2.0
387	16	32	0	4	5	1.0
1367	16	32	1	4	5	1.0
2347	16	32	2	4	5	1.0
3327	16	32	3	4	5	1.0
4307	16	32	4	4	5	1.0
103	4	32	0	4	3	1.0
1083	4	32	1	4	3	1.0
2063	4	32	2	4	3	1.0
3043	4	32	3	4	3	1.0
4023	4	32	4	4	3	1.0
1026	1	32	1	4	4	1.0
2006	1	32	2	4	4	1.0
2986	1	32	3	4	3	2.0
787	32	33	0	4	3	1.0
1767	32	33	1	4	3	1.0
2747	32	33	2	4	3	1.0
763	32	1	0	5	4	1.0
1743	32	1	1	5	4	1.0
2723	32	1	2	5	4	1.0
3703	32	1	3	5	4	1.0
765	32	4	0	5	3	1.0
1745	32	4	1	5	3	1.0
2725	32	4	2	5	3	1.0
3705	32	4	3	5	3	1.0
4685	32	4	4	5	3	1.0
366	16	4	0	5	5	1.0
1346	16	4	1	5	5	1.0
2326	16	4	2	5	5	1.0
3306	16	4	3	5	5	1.0
4286	16	4	4	5	5	1.0
1125	6	5	1	5	5	1.0
2105	6	5	2	5	5	1.0
3085	6	5	3	5	5	1.0
4065	6	5	4	5	1	1.0
3116	8	7	3	5	3	1.0
4096	8	7	4	5	1	1.0
89	4	15	0	5	6	1.0
1069	4	15	1	5	6	1.0
2049	4	15	2	5	6	1.0
3029	4	15	3	5	6	1.0
4009	4	15	4	5	6	1.0
4693	32	15	4	5	6	2.0
3713	32	15	3	5	6	2.0
4987	4	15	5	5	6	1.0
343	15	16	0	5	6	1.0
1323	15	16	1	5	6	1.0
2303	15	16	2	5	6	1.0
3283	15	16	3	5	6	1.0
4263	15	16	4	5	6	1.0
5241	15	16	5	5	6	1.0
2765	33	16	2	5	5	2.0
1785	33	16	1	5	5	2.0
805	33	16	0	5	5	2.0
4988	4	16	5	5	5	1.0
774	32	16	0	5	5	1.0
1754	32	16	1	5	5	1.0
2734	32	16	2	5	5	1.0
3714	32	16	3	5	5	1.0
4694	32	16	4	5	5	1.0
4011	4	17	4	5	7	2.0
3031	4	17	3	5	7	2.0
2051	4	17	2	5	7	2.0
1071	4	17	1	5	7	2.0
91	4	17	0	5	7	2.0
4989	4	17	5	5	7	2.0
5242	15	17	5	5	7	2.0
4264	15	17	4	5	7	2.0
3284	15	17	3	5	7	2.0
2304	15	17	2	5	7	2.0
1324	15	17	1	5	7	2.0
344	15	17	0	5	7	2.0
386	16	31	0	5	6	1.0
1366	16	31	1	5	6	1.0
2346	16	31	2	5	6	1.0
3326	16	31	3	5	6	1.0
4306	16	31	4	5	6	1.0
4706	32	31	4	5	6	2.0
3726	32	31	3	5	6	2.0
2746	32	31	2	5	6	2.0
1766	32	31	1	5	6	2.0
786	32	31	0	5	6	2.0
5284	16	31	5	5	6	1.0
818	33	32	0	5	3	1.0
1798	33	32	1	5	3	1.0
2778	33	32	2	5	3	1.0
756	31	33	0	5	6	1.0
1736	31	33	1	5	6	1.0
2716	31	33	2	5	6	1.0
3696	31	33	3	5	6	1.0
4676	31	33	4	5	6	1.0
5654	31	33	5	5	6	1.0
388	16	33	0	5	6	1.0
1368	16	33	1	5	6	1.0
2348	16	33	2	5	6	1.0
3328	16	33	3	5	6	1.0
4308	16	33	4	5	6	1.0
5286	16	33	5	5	6	1.0
357	15	33	0	5	6	1.0
1337	15	33	1	5	6	1.0
2317	15	33	2	5	6	1.0
3297	15	33	3	5	6	1.0
4277	15	33	4	5	6	1.0
5255	15	33	5	5	6	1.0
3044	4	33	3	5	3	1.0
4024	4	33	4	5	3	1.0
4707	32	33	4	5	6	2.0
3727	32	33	3	5	6	2.0
5002	4	33	5	5	3	1.0
2132	7	3	2	6	7	2.0
1152	7	3	1	6	7	2.0
4092	7	3	4	6	7	2.0
3112	7	3	3	6	7	2.0
3736	33	4	3	6	3	1.0
4716	33	4	4	6	3	1.0
5694	33	4	5	6	3	1.0
5264	16	4	5	6	5	1.0
335	15	4	0	6	6	1.0
1315	15	4	1	6	6	1.0
2295	15	4	2	6	6	1.0
3275	15	4	3	6	6	1.0
4255	15	4	4	6	6	1.0
5233	15	4	5	6	6	1.0
1057	3	8	1	6	7	1.0
2037	3	8	2	6	7	1.0
3017	3	8	3	6	7	1.0
3997	3	8	4	6	7	1.0
4975	3	8	5	6	7	1.0
5951	3	8	6	6	1	1.0
804	33	15	0	6	6	1.0
1784	33	15	1	6	6	1.0
2764	33	15	2	6	6	1.0
3744	33	15	3	6	6	1.0
4724	33	15	4	6	6	1.0
5702	33	15	5	6	6	1.0
374	16	15	0	6	6	1.0
1354	16	15	1	6	6	1.0
2334	16	15	2	6	6	1.0
3314	16	15	3	6	6	1.0
4294	16	15	4	6	6	1.0
5272	16	15	5	6	6	1.0
3745	33	16	3	6	5	2.0
4725	33	16	4	6	5	2.0
5703	33	16	5	6	5	2.0
743	31	16	0	6	6	1.0
1723	31	16	1	6	6	1.0
2703	31	16	2	6	6	1.0
3683	31	16	3	6	6	1.0
4663	31	16	4	6	6	1.0
5641	31	16	5	6	6	1.0
375	16	17	0	6	7	1.0
1355	16	17	1	6	7	1.0
2335	16	17	2	6	7	1.0
3315	16	17	3	6	7	1.0
4295	16	17	4	6	7	1.0
4695	32	17	4	6	7	2.0
