ID	s	d	ts	te	LLC	size	parent	parentTime	replica
----------------------------------------------------
250	3	11	0	13	13	500	3	13	0
276	0	9	1	1	0	500	-1	-1	-1
81	1	9	1	4	3	100	1	4	0
181	1	9	1	2	1	10	1	2	0
192	0	8	2	2	0	10	-1	-1	-1
18	1	8	2	3	1	25	1	3	0
296	1	9	2	3	1	10	1	3	0
28	3	8	2	15	13	500	3	15	0
190	0	11	3	3	0	10	-1	-1	-1
204	3	8	3	16	13	500	3	16	0
10	3	8	4	5	1	25	3	5	0
222	3	11	4	5	1	1	3	5	0
115	4	11	0	5	5	10	18	5	0
34	0	8	5	5	0	10	-1	-1	-1
51	3	11	5	6	1	1	3	6	0
286	3	11	5	7	2	50	3	7	0
62	3	8	6	7	1	1	3	7	0
8	1	9	7	8	1	25	1	8	0
124	1	11	7	20	13	500	1	20	0
231	4	9	6	8	2	1	19	8	0
147	0	11	8	8	0	50	-1	-1	-1
171	3	9	8	21	13	500	3	21	0
110	0	9	10	10	0	25	-1	-1	-1
279	1	11	10	23	13	500	1	23	0
122	3	11	10	12	2	50	3	12	0
14	1	8	12	13	1	10	1	13	0
173	1	11	12	14	2	50	1	14	0
130	3	9	12	25	13	500	3	25	0
278	3	9	12	13	1	10	3	13	0
29	0	8	13	13	0	100	-1	-1	-1
178	0	9	13	13	0	10	-1	-1	-1
201	3	8	13	14	1	25	3	14	0
227	3	11	13	26	13	500	3	26	0
254	3	8	14	27	13	500	3	27	0
225	0	9	15	15	0	25	-1	-1	-1
121	3	9	15	17	2	50	3	17	0
156	1	9	16	29	13	500	1	29	0
237	1	9	16	17	1	25	1	17	0
85	3	11	16	17	1	10	3	17	0
172	3	9	16	19	3	100	3	19	0
274	0	11	17	17	0	500	-1	-1	-1
128	1	11	17	19	2	50	1	19	0
245	1	8	17	18	1	25	1	18	0
92	3	9	17	20	3	100	3	20	0
52	0	9	18	18	0	500	-1	-1	-1
160	0	9	19	19	0	10	-1	-1	-1
207	0	11	19	19	0	25	-1	-1	-1
195	3	11	19	20	1	25	3	20	0
215	0	9	20	20	0	500	-1	-1	-1
210	1	9	21	22	1	1	1	22	0
11	0	9	22	22	0	50	-1	-1	-1
97	1	11	22	25	3	100	1	25	0
119	1	9	22	23	1	25	1	23	0
282	3	11	22	35	13	500	3	35	0
299	3	9	24	25	1	1	3	25	0
136	3	8	25	26	1	10	3	26	0
170	1	9	26	29	3	100	1	29	0
78	3	8	26	29	3	100	3	29	0
19	2	10	7	27	20	10	10	27	0
23	0	8	27	27	0	100	-1	-1	-1
79	0	9	27	27	0	100	-1	-1	-1
182	3	11	27	28	1	10	3	28	0
253	0	9	28	28	0	50	-1	-1	-1
224	2	10	0	37	37	25	20	37	0
15	2	10	3	37	34	25	20	37	0
273	2	10	7	37	30	25	20	37	0
93	2	10	10	32	22	10	20	32	0
114	1	9	29	30	1	25	1	30	0
42	3	11	29	42	13	500	3	42	0
89	3	8	29	31	2	50	3	31	0
226	3	9	29	30	1	1	3	30	0
233	0	8	30	30	0	100	-1	-1	-1
200	1	8	30	43	13	500	1	43	0
212	1	11	30	31	1	25	1	31	0
3	3	8	30	31	1	25	3	31	0
70	3	11	31	33	2	50	3	33	0
118	3	9	31	34	3	100	3	34	0
203	3	11	32	34	2	50	3	34	0
12	1	9	33	34	1	25	1	34	0
165	0	11	35	35	0	100	-1	-1	-1
295	0	11	35	35	0	25	-1	-1	-1
221	1	8	35	48	13	500	1	48	0
39	3	9	35	36	1	10	3	36	0
236	3	9	35	36	1	1	3	36	0
288	3	8	35	36	1	10	3	36	0
259	1	11	36	49	13	500	1	49	0
47	1	8	37	39	2	50	1	39	0
294	3	9	37	39	2	50	3	39	0
7	3	11	38	40	2	50	3	40	0
132	3	11	38	39	1	25	3	39	0
265	0	9	39	39	0	500	-1	-1	-1
269	0	8	39	39	0	1	-1	-1	-1
144	1	9	39	40	1	10	1	40	0
280	1	9	39	42	3	100	1	42	0
22	0	11	40	40	0	50	-1	-1	-1
185	0	8	40	40	0	10	-1	-1	-1
151	1	9	40	43	3	100	1	43	0
131	3	8	40	41	1	25	3	41	0
261	0	8	41	41	0	10	-1	-1	-1
135	3	8	41	42	1	10	3	42	0
168	0	11	42	42	0	25	-1	-1	-1
206	1	8	42	44	2	50	1	44	0
13	1	9	43	44	1	10	1	44	0
149	0	9	44	44	0	1	-1	-1	-1
275	1	9	44	46	2	50	1	46	0
54	0	9	45	45	0	10	-1	-1	-1
57	3	11	45	58	13	500	3	58	0
242	0	8	46	46	0	50	-1	-1	-1
46	1	9	47	48	1	10	1	48	0
59	3	9	47	49	2	50	3	49	0
264	0	9	48	48	0	25	-1	-1	-1
116	1	11	49	50	1	10	1	50	0
184	1	8	49	51	2	50	1	51	0
43	3	8	49	52	3	100	3	52	0
82	0	8	50	50	0	50	-1	-1	-1
289	0	9	50	50	0	1	-1	-1	-1
271	1	11	51	52	1	25	1	52	0
292	1	8	51	52	1	10	1	52	0
169	0	11	52	52	0	10	-1	-1	-1
0	1	8	52	54	2	50	1	54	0
80	1	11	52	53	1	1	1	53	0
129	1	9	52	53	1	25	1	53	0
40	0	9	53	53	0	50	-1	-1	-1
56	1	11	53	56	3	100	1	56	0
202	1	8	53	54	1	25	1	54	0
152	1	9	54	55	1	1	1	55	0
112	0	8	55	55	0	10	-1	-1	-1
146	1	8	55	58	3	100	1	58	0
208	1	8	55	68	13	500	1	68	0
270	1	8	55	56	1	10	1	56	0
74	7	11	8	56	48	1	18	56	0
189	7	9	9	56	47	1	18	56	0
247	7	8	10	56	46	1	18	56	0
223	4	11	12	56	44	1	18	56	0
104	4	9	13	56	43	1	18	56	0
24	6	8	14	56	42	1	18	56	0
84	6	11	16	56	40	1	18	56	0
33	4	10	17	56	39	1	18	56	0
148	6	9	17	56	39	1	18	56	0
199	4	11	21	56	35	1	18	56	0
137	4	8	23	56	33	1	18	56	0
64	6	11	24	56	32	1	18	56	0
48	4	8	25	56	31	1	18	56	0
98	4	9	26	56	30	1	18	56	0
