ID	s	d	ts	te	LLC	size	parent	parentTime	replica
----------------------------------------------------
60	0	10	0	0	0	25	-1	-1	-1
65	0	8	0	0	0	1	-1	-1	-1
10	0	8	1	1	0	50	-1	-1	-1
84	0	10	1	1	0	10	-1	-1	-1
19	5	9	1	2	1	10	5	1	0
53	6	10	1	5	4	10	6	1	0
90	6	10	1	2	1	1	6	1	0
58	1	8	1	3	2	1	6	2	0
68	6	9	2	11	9	25	6	2	0
35	5	9	3	5	2	50	5	3	0
13	6	10	3	4	1	1	6	3	0
59	6	8	3	7	4	10	6	3	0
44	0	8	4	4	0	1	-1	-1	-1
88	0	10	4	4	0	1	-1	-1	-1
3	1	9	0	13	13	25	6	4	0
63	5	9	5	6	1	25	5	5	0
32	1	11	3	9	6	10	6	5	0
99	0	11	6	6	0	10	-1	-1	-1
28	0	8	7	7	0	25	-1	-1	-1
55	0	9	7	7	0	100	-1	-1	-1
17	5	11	7	8	1	1	5	7	0
31	5	9	7	8	1	25	5	7	0
4	3	11	1	8	7	1	19	7	0
75	3	9	1	8	7	1	19	7	0
48	2	11	0	8	8	1	19	7	0
54	2	8	0	8	8	1	19	7	0
45	2	9	1	8	7	1	19	7	0
30	5	8	8	11	3	100	5	8	0
86	1	8	6	12	6	10	6	8	0
79	7	9	5	9	4	1	19	8	0
87	0	8	9	9	0	1	-1	-1	-1
69	1	9	8	10	2	1	6	9	0
11	6	8	9	13	4	10	6	9	0
2	1	11	8	14	6	10	6	10	0
38	6	11	10	11	1	1	6	10	0
74	4	11	6	11	5	1	19	10	0
57	0	9	11	11	0	100	-1	-1	-1
61	5	9	11	12	1	10	5	11	0
50	7	10	8	12	4	1	19	11	0
94	2	11	6	12	6	1	19	11	0
12	5	9	12	13	1	1	5	12	0
56	5	10	12	13	1	25	5	12	0
25	6	11	12	13	1	1	6	12	0
73	1	9	12	14	2	1	6	13	0
42	6	8	13	14	1	1	6	13	0
6	7	11	10	14	4	1	19	13	0
43	4	8	9	14	5	1	19	13	0
39	0	9	14	14	0	25	-1	-1	-1
21	4	8	1	15	14	10	19	14	0
40	0	11	15	15	0	10	-1	-1	-1
47	5	9	15	16	1	1	5	15	0
92	6	8	15	16	1	1	6	15	0
