ID	s	d	TTL	size	genT
0	7	11	22	10	14
1	4	8	27	10	5
2	1	11	23	10	8
3	1	9	22	25	0
4	3	11	29	1	1
5	4	11	21	25	0
6	7	11	20	1	10
7	2	10	20	100	9
8	4	10	20	10	12
9	1	9	25	10	13
10	0	8	29	50	1
11	6	8	29	10	9
12	5	9	25	1	12
13	6	10	28	1	3
14	1	9	30	25	14
15	3	10	24	100	5
16	2	9	27	10	6
17	5	11	27	1	7
18	3	10	21	1	12
19	5	9	22	10	1
20	7	11	25	10	8
21	4	8	22	10	1
22	6	8	28	100	5
23	2	10	24	25	7
24	6	9	26	50	15
25	6	11	26	1	12
26	1	9	25	100	2
27	1	8	27	100	4
28	0	8	21	25	7
29	2	10	23	50	10
30	5	8	30	100	8
31	5	9	27	25	7
32	1	11	28	10	3
33	7	11	24	50	3
34	2	10	24	25	5
35	5	9	29	50	3
36	3	11	27	10	8
37	2	10	29	10	10
38	6	11	27	1	10
39	0	9	20	25	14
40	0	11	23	10	15
41	7	10	23	25	2
42	6	8	21	1	13
43	4	8	30	1	9
44	0	8	28	1	4
45	2	9	23	1	1
46	4	10	26	10	11
47	5	9	25	1	15
48	2	11	28	1	0
49	7	10	29	100	11
50	7	10	24	1	8
51	4	11	30	50	11
52	3	9	27	10	7
53	6	10	21	10	1
54	2	8	24	1	0
55	0	9	27	100	7
56	5	10	29	25	12
57	0	9	21	100	11
58	1	8	28	1	1
59	6	8	23	10	3
60	0	10	25	25	0
61	5	9	24	10	11
62	2	10	23	25	11
63	5	9	23	25	5
64	3	10	30	50	9
65	0	8	30	1	0
66	4	11	21	50	5
67	3	11	22	100	15
68	6	9	25	25	2
69	1	9	24	1	8
70	4	11	25	100	11
71	7	8	28	10	11
72	3	11	21	25	12
73	1	9	29	1	12
74	4	11	25	1	6
75	3	9	28	1	1
76	1	8	25	1	15
77	1	9	24	100	10
78	7	11	27	25	7
79	7	9	23	1	5
80	7	10	22	1	15
81	7	9	21	10	7
82	7	11	22	10	9
83	3	11	21	1	15
84	0	10	22	10	1
85	4	10	27	25	10
86	1	8	23	10	6
87	0	8	22	1	9
88	0	10	26	1	4
89	3	10	29	50	11
90	6	10	29	1	1
91	6	9	30	50	7
92	6	8	24	1	15
93	7	10	27	50	4
94	2	11	30	1	6
95	2	10	30	25	12
96	7	10	29	10	13
97	7	10	28	25	6
98	2	10	29	100	0
99	0	11	21	10	6
