ID	s	d	ts	te	m	LLC	ELC
----------------------------------------------------
30	1	8	0	5	100	5	0
11	1	8	1	2	1	1	0
76	0	9	1	4	100	3	0
87	7	10	1	4	100	3	0
84	2	11	1	4	100	3	0
82	1	8	2	3	10	1	0
5	2	11	2	3	25	1	0
47	4	11	3	5	50	2	0
39	2	11	3	4	1	1	0
89	6	8	4	9	100	5	0
20	7	10	4	5	10	1	0
18	0	8	1	6	10	5	0
26	1	9	4	6	1	2	0
58	5	9	5	6	25	1	0
64	2	10	4	6	1	2	0
45	4	11	5	6	1	1	0
94	4	11	5	6	25	1	0
54	2	11	5	6	1	1	0
88	0	9	6	7	10	1	0
25	2	10	5	10	10	5	0
50	1	8	7	8	10	1	0
98	0	9	7	8	1	1	0
92	3	10	7	10	100	3	0
72	4	11	7	9	50	2	0
7	0	9	8	11	100	3	0
90	7	11	7	12	10	5	0
93	2	11	8	9	10	1	0
37	6	8	9	14	100	5	0
60	6	8	10	15	100	5	0
56	1	9	8	14	10	6	0
28	5	9	10	12	50	2	0
6	3	10	10	13	100	3	0
23	3	10	10	11	1	1	0
49	6	8	11	13	25	2	0
46	1	8	11	13	25	2	0
83	7	10	11	13	50	2	0
44	0	8	8	13	10	5	0
22	1	9	10	16	10	6	0
32	5	9	12	13	10	1	0
57	6	8	13	14	10	1	0
99	2	9	7	13	1	6	0
16	4	9	8	13	1	5	0
36	7	10	13	14	1	1	0
55	0	10	5	13	1	8	0
2	0	10	3	13	1	10	0
78	5	10	9	13	1	4	0
19	1	11	0	14	1	14	0
12	6	11	3	14	1	11	0
17	0	11	4	14	1	10	0
61	6	11	6	14	1	8	0
80	0	11	7	14	1	7	0
69	2	11	13	16	100	3	0
74	2	8	3	15	1	12	0
73	4	8	1	15	1	14	0
38	7	8	9	15	1	6	0
33	6	8	14	16	25	2	0
68	1	8	14	16	25	2	0
8	0	9	14	16	50	2	0
71	4	10	3	18	100	15	0
79	4	10	2	18	100	16	0
66	2	10	4	18	100	14	0
75	2	10	7	18	100	11	0
21	2	10	7	18	100	11	0
52	4	10	7	15	25	8	0
31	4	10	7	16	50	9	0
9	3	10	15	16	25	1	0
3	5	10	11	15	1	4	0
40	4	11	15	16	10	1	0
70	4	11	15	18	100	3	0
24	0	11	11	16	1	5	0
4	2	8	9	17	1	8	0
14	6	11	12	17	1	5	0
48	7	11	13	16	10	3	0
35	7	11	11	19	50	8	0
81	7	11	10	19	50	9	0
15	3	11	6	19	50	13	0
95	3	11	3	19	50	16	0
85	3	8	14	19	1	5	0
43	2	10	15	19	25	4	0
51	7	11	8	23	100	15	0
1	7	11	15	20	25	5	0
53	3	9	11	20	10	9	0
96	6	9	0	25	100	25	0
34	6	9	5	23	50	18	0
27	6	9	7	25	100	18	0
97	1	9	9	25	100	16	0
42	1	9	12	22	25	10	0
67	6	9	12	25	100	13	0
63	6	9	15	22	25	7	0
65	6	10	7	22	10	15	0
59	5	11	2	21	10	19	0
86	4	9	9	22	10	13	0
29	5	11	10	22	10	12	0
62	2	8	7	24	10	17	0
91	3	9	1	24	25	23	0
41	0	10	14	24	10	10	0
77	6	11	7	23	10	16	0
0	7	9	4	27	25	23	0
13	2	9	15	27	10	12	0
10	0	11	15	26	10	11	0
