ID	s	d	ts	te	m	LLC	ELC
----------------------------------------------------
131	5	11	0	17	50	17	0
28	0	11	0	25	500	25	0
1	3	9	2	15	500	13	0
265	3	9	2	27	1000	25	0
105	3	9	4	17	500	13	0
254	3	10	4	29	1000	25	0
170	1	11	5	24	750	19	0
230	0	11	10	35	500	25	0
76	3	10	11	30	750	19	0
220	1	11	11	24	500	13	0
110	3	10	12	37	1000	25	0
205	7	9	13	38	500	25	0
119	0	8	15	17	1	2	0
35	0	9	13	19	25	6	0
167	1	8	7	21	50	14	0
42	0	8	7	21	50	14	0
93	0	9	8	21	50	13	0
34	7	10	18	43	500	25	0
19	3	10	18	43	1000	25	0
122	5	11	18	27	25	9	0
72	0	11	18	43	500	25	0
65	6	11	6	18	25	12	0
268	5	9	19	44	500	25	0
211	1	10	12	20	25	8	0
74	0	11	0	38	750	38	0
250	5	11	15	21	50	6	0
12	5	11	12	21	50	9	0
293	7	11	10	21	50	11	0
174	3	11	2	21	50	19	0
241	1	9	12	25	100	13	0
59	2	10	18	21	10	3	0
3	3	10	20	33	500	13	0
283	3	11	17	20	10	3	0
31	3	8	21	46	500	25	0
173	2	8	9	25	100	16	0
274	2	8	10	25	100	15	0
273	1	8	13	23	50	10	0
166	2	8	14	23	50	9	0
10	2	8	16	21	10	5	0
228	3	9	21	46	1000	25	0
123	5	11	21	25	10	4	0
194	7	11	15	23	50	8	0
288	6	10	22	47	500	25	0
86	4	8	2	25	50	23	0
234	3	9	23	48	1000	25	0
91	2	10	13	28	100	15	0
181	1	8	20	25	10	5	0
94	2	8	20	25	10	5	0
9	7	9	24	49	500	25	0
64	3	9	24	49	1000	25	0
69	0	9	18	24	10	6	0
61	2	9	19	24	10	5	0
18	3	11	23	28	10	5	0
144	4	8	13	26	25	13	0
153	1	10	21	26	10	5	0
281	1	11	25	44	750	19	0
111	3	8	26	51	500	25	0
2	6	9	0	38	500	38	0
270	1	10	23	28	10	5	0
261	0	10	25	28	1	3	0
33	7	11	2	31	100	29	0
179	3	11	5	31	100	26	0
284	6	11	7	31	100	24	0
63	3	11	16	29	50	13	0
204	5	11	17	31	100	14	0
231	6	11	16	29	50	13	0
242	7	11	21	31	100	10	0
271	3	11	23	28	25	5	0
189	1	8	25	28	10	3	0
36	7	9	28	53	500	25	0
17	7	11	2	52	500	50	0
87	0	9	19	31	25	12	0
219	2	8	21	32	25	11	0
81	1	9	28	31	10	3	0
47	2	10	28	31	10	3	0
184	1	8	27	33	25	6	0
79	1	9	27	33	25	6	0
7	0	10	29	32	1	3	0
162	3	10	31	44	500	13	0
90	6	11	24	32	25	8	0
159	2	8	18	35	50	17	0
92	0	8	20	35	50	15	0
253	0	9	17	35	50	18	0
54	0	10	19	35	50	16	0
192	1	10	23	35	50	12	0
53	2	10	28	34	25	6	0
225	4	10	15	35	50	20	0
262	2	11	32	45	500	13	0
214	1	9	27	36	50	9	0
196	3	9	33	58	1000	25	0
208	2	10	26	36	50	10	0
58	6	11	21	37	100	16	0
109	5	11	28	37	100	9	0
44	3	11	29	34	25	5	0
120	7	11	31	34	10	3	0
99	1	8	29	38	50	9	0
150	1	8	31	35	10	4	0
134	3	9	35	60	1000	25	0
98	4	9	14	36	50	22	0
56	7	11	8	59	500	51	0
172	6	10	37	62	500	25	0
5	1	11	37	62	1000	25	0
107	5	11	35	37	10	2	0
245	2	8	33	40	25	7	0
290	2	9	33	40	25	7	0
243	1	9	34	40	25	6	0
142	3	9	38	57	750	19	0
238	6	9	12	50	500	38	0
251	1	11	38	63	1000	25	0
164	2	8	32	42	50	10	0
154	0	10	35	41	25	6	0
161	3	10	39	64	1000	25	0
48	4	9	19	41	50	22	0
77	7	10	40	65	500	25	0
185	2	11	40	65	1000	25	0
132	7	11	33	42	100	9	0
244	0	9	34	44	50	10	0
226	5	9	41	66	500	25	0
240	7	10	42	67	500	25	0
11	0	10	36	43	25	7	0
264	5	11	38	43	50	5	0
85	5	9	43	68	500	25	0
75	2	11	43	68	1000	25	0
165	4	8	23	46	50	23	0
237	7	9	44	69	500	25	0
212	0	9	42	45	1	3	0
198	6	9	18	56	500	38	0
78	0	10	35	46	50	11	0
46	3	9	45	70	1000	25	0
116	3	10	45	70	1000	25	0
151	3	10	46	65	750	19	0
143	3	8	47	72	500	25	0
15	6	9	21	59	500	38	0
67	4	9	26	48	50	22	0
217	3	10	47	66	750	19	0
183	0	11	47	72	500	25	0
155	6	8	23	73	500	50	0
84	1	11	49	62	500	13	0
272	1	11	49	68	750	19	0
145	3	9	50	63	500	13	0
267	2	11	50	69	750	19	0
20	1	11	51	64	500	13	0
279	1	11	51	76	1000	25	0
289	6	8	26	76	500	50	0
121	7	9	53	78	500	25	0
83	4	8	53	55	1	2	0
195	2	11	55	74	750	19	0
133	0	11	30	80	1000	50	0
224	2	8	53	58	25	5	0
139	0	8	49	58	25	9	0
275	5	9	56	81	500	25	0
82	4	9	51	56	10	5	0
127	1	11	56	75	750	19	0
294	1	8	51	60	50	9	0
124	1	8	50	60	50	10	0
292	2	8	47	60	50	13	0
51	2	8	46	60	50	14	0
278	2	8	45	60	50	15	0
221	1	9	49	60	50	11	0
249	1	9	46	60	50	14	0
295	0	9	46	60	50	14	0
297	2	9	42	59	25	17	0
22	2	9	55	58	10	3	0
169	5	11	41	57	10	16	0
247	5	11	36	57	10	21	0
23	1	8	38	61	50	23	0
246	0	8	38	61	50	23	0
128	1	8	37	61	50	24	0
203	0	8	52	61	50	9	0
291	2	9	40	61	50	21	0
277	2	9	36	61	50	25	0
298	0	10	41	59	10	18	0
118	1	10	53	59	25	6	0
113	3	10	58	77	750	19	0
149	1	11	58	83	1000	25	0
266	6	11	39	60	50	21	0
0	3	11	55	58	10	3	0
178	7	8	59	84	500	25	0
126	0	8	43	64	100	21	0
171	0	8	39	64	100	25	0
37	0	8	34	64	100	30	0
236	0	8	53	62	50	9	0
233	2	9	39	64	100	25	0
70	2	10	57	60	10	3	0
55	0	8	54	63	50	9	0
60	2	8	44	62	25	18	0
66	1	9	27	65	100	38	0
239	0	9	21	65	100	44	0
6	0	9	20	65	100	45	0
62	2	10	43	63	50	20	0
280	1	10	37	63	50	26	0
255	0	10	54	61	25	7	0
158	2	11	60	85	1000	25	0
259	5	11	57	61	25	4	0
193	3	11	55	61	25	6	0
8	7	11	58	60	10	2	0
108	0	8	41	64	50	23	0
115	1	8	30	85	500	55	0
103	2	8	16	85	500	69	0
71	0	8	11	85	500	74	0
102	1	8	10	85	500	75	0
146	2	8	3	85	500	82	0
218	2	8	2	85	500	83	0
43	0	8	54	65	100	11	0
276	0	9	51	66	100	15	0
27	1	10	51	66	100	15	0
129	2	10	43	66	100	23	0
112	1	10	41	66	100	25	0
38	2	10	55	64	50	9	0
269	0	8	56	66	100	10	0
147	1	8	38	62	10	24	0
130	0	9	60	62	1	2	0
135	1	10	42	64	25	22	0
4	0	10	43	63	25	20	0
39	0	10	27	62	1	35	0
152	2	8	31	68	100	37	0
97	1	8	37	87	500	50	0
52	1	9	57	66	50	9	0
29	0	10	53	68	100	15	0
101	3	11	60	63	10	3	0
21	0	9	29	88	500	59	0
187	1	9	19	88	500	69	0
49	2	9	19	88	500	69	0
296	2	9	11	88	500	77	0
50	2	9	2	88	500	86	0
26	1	9	22	88	500	66	0
16	0	9	56	68	100	12	0
232	1	10	28	88	500	60	0
106	2	10	32	88	500	56	0
287	2	10	24	88	500	64	0
73	0	10	10	88	500	78	0
125	0	10	9	88	500	79	0
213	0	10	14	68	100	54	0
256	1	10	22	68	100	46	0
136	0	8	38	91	500	53	0
95	0	8	40	91	500	51	0
282	0	8	58	71	100	13	0
14	6	8	41	91	500	50	0
199	6	9	41	79	500	38	0
24	1	9	60	73	100	13	0
156	1	10	30	71	100	41	0
88	0	9	41	94	500	53	0
177	0	10	59	74	100	15	0
229	6	9	45	83	500	38	0
190	4	10	55	75	50	20	0
186	2	9	20	94	750	74	0
248	0	9	9	94	750	85	0
257	2	9	7	94	750	87	0
25	1	9	1	94	750	93	0
200	4	9	57	79	50	22	0
216	6	8	53	103	500	50	0
80	5	10	57	95	500	38	0
222	3	11	37	109	500	72	0
