T X Y S0 S1 S2 
0 3990.075 5890.218 5 15 51 
1 3990.075 5890.218 4 15 54 
2 3990.075 5890.218 4 18 57 
3 3990.075 5890.218 4 12 52 
4 3990.075 5890.218 3 15 54 
5 3990.075 5890.218 4 18 43 
6 3990.075 5890.218 5 15 57 
7 3990.075 5890.218 3 10 52 
8 3990.075 5890.218 5 13 46 
9 3990.075 5890.218 3 14 52 
10 3990.075 5890.218 5 13 41 
11 3990.075 5890.218 4 10 55 
12 3990.075 5890.218 3 16 43 
13 3990.075 5890.218 4 15 59 
14 3990.075 5890.218 5 12 55 
15 3990.075 5890.218 3 17 57 
16 3990.075 5890.218 4 12 43 
17 3990.075 5890.218 4 16 59 
18 3990.075 5890.218 4 12 51 
19 3990.075 5890.218 3 14 52 
20 3990.075 5890.218 5 15 55 
21 3990.075 5890.218 3 15 47 
22 3990.075 5890.218 4 17 44 
23 3990.075 5890.218 4 17 49 
24 3990.075 5890.218 3 10 56 
25 3990.075 5890.218 4 15 45 
26 3990.075 5890.218 5 17 57 
27 3990.075 5890.218 4 14 43 
28 3990.075 5890.218 4 15 56 
29 3990.075 5890.218 5 19 48 
