T X Y S0 S1 S2 S3 
0 9833.51 7508.437 5 11 26 58 
1 9833.51 7508.437 3 17 27 41 
2 9833.51 7508.437 3 9 20 44 
3 9833.51 7508.437 5 13 26 49 
4 9833.51 7508.437 5 14 26 47 
5 9833.51 7508.437 4 16 20 48 
6 9833.51 7508.437 4 19 29 58 
7 9833.51 7508.437 4 11 21 59 
8 9833.51 7508.437 5 13 26 58 
9 9833.51 7508.437 4 9 29 53 
10 9833.51 7508.437 4 9 27 49 
11 9833.51 7508.437 4 15 24 49 
12 9833.51 7508.437 4 8 28 45 
13 9833.51 7508.437 3 16 22 55 
14 9833.51 7508.437 5 13 29 43 
15 9833.51 7508.437 5 9 21 48 
16 9833.51 7508.437 5 8 20 49 
17 9833.51 7508.437 3 14 25 42 
18 9833.51 7508.437 5 9 20 42 
19 9833.51 7508.437 4 17 27 54 
20 9833.51 7508.437 4 11 21 42 
21 9833.51 7508.437 4 11 21 40 
22 9833.51 7508.437 4 17 29 48 
23 9833.51 7508.437 4 14 22 43 
24 9833.51 7508.437 3 12 25 53 
25 9833.51 7508.437 3 18 27 59 
26 9833.51 7508.437 3 11 20 53 
27 9833.51 7508.437 3 18 23 55 
28 9833.51 7508.437 3 13 22 57 
29 9833.51 7508.437 3 19 25 45 
30 9833.51 7508.437 3 9 28 54 
31 9833.51 7508.437 4 16 23 55 
32 9833.51 7508.437 3 13 20 53 
33 9833.51 7508.437 5 18 24 47 
34 9833.51 7508.437 5 13 20 58 
35 9833.51 7508.437 3 12 24 45 
36 9833.51 7508.437 4 9 22 47 
37 9833.51 7508.437 5 10 28 48 
38 9833.51 7508.437 3 13 21 48 
39 9833.51 7508.437 5 9 23 41 
40 9833.51 7508.437 4 10 28 44 
41 9833.51 7508.437 3 10 25 59 
42 9833.51 7508.437 5 15 27 42 
43 9833.51 7508.437 3 8 20 41 
44 9833.51 7508.437 5 19 23 51 
45 9833.51 7508.437 4 8 23 53 
46 9833.51 7508.437 3 10 27 57 
47 9833.51 7508.437 5 8 29 46 
48 9833.51 7508.437 5 12 24 55 
49 9833.51 7508.437 5 12 20 56 
50 9833.51 7508.437 4 15 25 48 
51 9833.51 7508.437 3 11 21 40 
52 9833.51 7508.437 4 12 29 57 
53 9833.51 7508.437 4 9 24 45 
54 9833.51 7508.437 5 18 21 55 
55 9833.51 7508.437 5 8 22 51 
56 9833.51 7508.437 5 16 22 41 
57 9833.51 7508.437 3 11 21 58 
58 9833.51 7508.437 3 17 23 56 
59 9833.51 7508.437 4 13 24 58 
