#id	src	des	TTL	Size	genT
0	0	37	13	20	0
1	0	39	5	20	0
2	0	38	0	20	0
3	0	39	10	20	0
4	0	38	17	20	0
5	1	35	28	20	0
6	1	39	10	20	0
7	1	38	27	20	0
8	1	35	14	20	0
9	2	37	11	20	0
10	2	37	14	20	0
11	2	36	16	20	0
12	2	35	17	20	0
13	2	39	10	20	0
14	3	38	19	20	0
15	3	37	27	20	0
16	3	36	3	20	0
17	3	37	20	20	0
18	3	35	22	20	0
19	4	39	2	20	0
20	4	37	24	20	0
21	4	36	22	20	0
22	0	39	1	20	1
23	0	37	9	20	1
24	0	36	7	20	1
25	1	36	16	20	1
26	1	37	10	20	1
27	1	37	1	20	1
28	1	37	19	20	1
29	2	39	7	20	1
30	2	36	30	20	1
31	3	37	17	20	1
32	3	36	19	20	1
33	4	37	13	20	1
34	4	39	14	20	1
35	0	36	6	20	2
36	0	37	9	20	2
37	1	39	5	20	2
38	1	39	21	20	2
39	2	39	20	20	2
40	2	39	28	20	2
41	3	39	16	20	2
42	3	38	23	20	2
43	3	35	30	20	2
44	3	35	19	20	2
45	3	38	6	20	2
46	4	37	17	20	2
47	4	38	25	20	2
48	4	39	19	20	2
49	4	38	6	20	2
50	0	35	9	20	7
51	0	37	25	20	7
52	0	35	19	20	7
53	1	36	23	20	7
54	1	38	16	20	7
55	1	35	24	20	7
56	2	35	30	20	7
57	2	35	8	20	7
58	2	38	11	20	7
59	2	36	9	20	7
60	2	36	7	20	7
61	3	38	23	20	7
62	3	37	18	20	7
63	3	37	22	20	7
64	3	35	11	20	7
65	4	38	15	20	7
66	4	35	28	20	7
67	4	39	20	20	7
68	4	37	11	20	7
